Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Rank of ZIP Code Discharges,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C)
Anna Jaques Hospital,Not Applicable,Community Hospital,01950,1,"Newburyport, MA",Newburyport,MA,Essex County,1,1149,7107,1908,0.161671591,0.602201258
Anna Jaques Hospital,Not Applicable,Community Hospital,01913,1,"Amesbury, MA",Amesbury,MA,Essex County,2,1146,7107,1950,0.161249472,0.587692308
Anna Jaques Hospital,Not Applicable,Community Hospital,01952,1,"Salisbury, MA",Salisbury,MA,Essex County,3,634,7107,1133,0.089207823,0.559576346
Anna Jaques Hospital,Not Applicable,Community Hospital,01830,1,"Haverhill, MA",Haverhill,MA,Essex County,4,465,7107,4242,0.065428451,0.109618105
Anna Jaques Hospital,Not Applicable,Community Hospital,01860,1,"Merrimac, MA",Merrimac,MA,Essex County,5,309,7107,651,0.043478261,0.474654378
Anna Jaques Hospital,Not Applicable,Community Hospital,01832,1,"Haverhill, MA",Haverhill,MA,Essex County,7,217,7107,2705,0.030533277,0.080221811
Anna Jaques Hospital,Not Applicable,Community Hospital,01833,1,"Georgetown, MA",Georgetown,MA,Essex County,8,216,7107,811,0.030392571,0.266337855
Anna Jaques Hospital,Not Applicable,Community Hospital,01834,1,"Groveland, MA",Groveland,MA,Essex County,9,190,7107,726,0.026734206,0.261707989
Anna Jaques Hospital,Not Applicable,Community Hospital,01985,1,"West Newbury, MA",West Newbury,MA,Essex County,10,166,7107,375,0.023357253,0.442666667
Anna Jaques Hospital,Not Applicable,Community Hospital,01835,1,"Haverhill, MA",Haverhill,MA,Essex County,11,164,7107,1516,0.023075841,0.10817942
Anna Jaques Hospital,Not Applicable,Community Hospital,01951,1,"Newbury, MA",Newbury,MA,Essex County,12,159,7107,289,0.022372309,0.55017301
Anna Jaques Hospital,Not Applicable,Community Hospital,01969,1,"Rowley, MA",Rowley,MA,Essex County,13,152,7107,618,0.021387365,0.245954693
Anna Jaques Hospital,Not Applicable,Community Hospital,01922,1,"Byfield, MA",Byfield,MA,Essex County,14,150,7107,323,0.021105952,0.464396285
Anna Jaques Hospital,Not Applicable,Community Hospital,01938,1,"Ipswich, MA",Ipswich,MA,Essex County,15,95,7107,1612,0.013367103,0.058933002
Anna Jaques Hospital,Not Applicable,Community Hospital,01921,1,"Boxford, MA",Boxford,MA,Essex County,19,47,7107,709,0.006613198,0.06629055
Anna Jaques Hospital,Not Applicable,Community Hospital,01844,1,"Methuen, MA",Methuen,MA,Essex County,20.5,45,7107,6162,0.006331786,0.007302824
Anna Jaques Hospital,Not Applicable,Community Hospital,01915,1,"Beverly, MA",Beverly,MA,Essex County,20.5,45,7107,5865,0.006331786,0.007672634
Anna Jaques Hospital,Not Applicable,Community Hospital,01923,1,"Danvers, MA",Danvers,MA,Essex County,23,40,7107,4028,0.005628254,0.009930487
Anna Jaques Hospital,Not Applicable,Community Hospital,01845,1,"North Andover, MA",North Andover,MA,Essex County,24.5,37,7107,3158,0.005206135,0.011716276
Anna Jaques Hospital,Not Applicable,Community Hospital,01960,1,"Peabody, MA",Peabody,MA,Essex County,26.5,36,7107,7599,0.005065428,0.004737465
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01331,2,"Athol, MA",Athol,MA,Worcester County,1,363,642,1928,0.565420561,0.188278008
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01364,2,"Orange, MA",Orange,MA,Franklin County,2,158,642,953,0.246105919,0.165792235
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01440,2,"Gardner, MA",Gardner,MA,Worcester County,3,43,642,2612,0.066978193,0.016462481
Baystate Medical Center,Baystate Health System,Teaching Hospital,01109,4,"Springfield, MA",Springfield,MA,Hampden County,1,2711,41608,4253,0.065155739,0.637432401
Baystate Medical Center,Baystate Health System,Teaching Hospital,01108,4,"Springfield, MA",Springfield,MA,Hampden County,2,2337,41608,3777,0.056167083,0.618745036
Baystate Medical Center,Baystate Health System,Teaching Hospital,01104,4,"Springfield, MA",Springfield,MA,Hampden County,3,2149,41608,3556,0.051648721,0.604330709
Baystate Medical Center,Baystate Health System,Teaching Hospital,01089,4,"West Springfield, MA",West Springfield,MA,Hampden County,4,2066,41608,3651,0.049653913,0.565872364
Baystate Medical Center,Baystate Health System,Teaching Hospital,01020,4,"Chicopee, MA",Chicopee,MA,Hampden County,5,2024,41608,4081,0.048644491,0.495956873
Baystate Medical Center,Baystate Health System,Teaching Hospital,01040,4,"Holyoke, MA",Holyoke,MA,Hampden County,6,2004,41608,6418,0.048163815,0.312246806
Baystate Medical Center,Baystate Health System,Teaching Hospital,01085,4,"Westfield, MA",Westfield,MA,Hampden County,7,1785,41608,4443,0.042900404,0.401755571
Baystate Medical Center,Baystate Health System,Teaching Hospital,01013,4,"Chicopee, MA",Chicopee,MA,Hampden County,8,1697,41608,3151,0.040785426,0.538559188
Baystate Medical Center,Baystate Health System,Teaching Hospital,01001,4,"Agawam, MA",Agawam,MA,Hampden County,9,1482,41608,2504,0.03561815,0.591853035
Baystate Medical Center,Baystate Health System,Teaching Hospital,01028,4,"East Longmeadow, MA",East Longmeadow,MA,Hampden County,10,1358,41608,2058,0.032637954,0.659863946
Baystate Medical Center,Baystate Health System,Teaching Hospital,01056,4,"Ludlow, MA",Ludlow,MA,Hampden County,11,1357,41608,2228,0.03261392,0.609066427
Baystate Medical Center,Baystate Health System,Teaching Hospital,01105,4,"Springfield, MA",Springfield,MA,Hampden County,12,1228,41608,2087,0.029513555,0.588404408
Baystate Medical Center,Baystate Health System,Teaching Hospital,01107,4,"Springfield, MA",Springfield,MA,Hampden County,13,1171,41608,1743,0.028143626,0.671830178
Baystate Medical Center,Baystate Health System,Teaching Hospital,01118,4,"Springfield, MA",Springfield,MA,Hampden County,14,1062,41608,1690,0.025523938,0.628402367
Baystate Medical Center,Baystate Health System,Teaching Hospital,01119,4,"Springfield, MA",Springfield,MA,Hampden County,15,1040,41608,1628,0.024995193,0.638820639
Baystate Medical Center,Baystate Health System,Teaching Hospital,01106,4,"Longmeadow, MA",Longmeadow,MA,Hampden County,16,989,41608,1440,0.023769467,0.686805556
Baystate Medical Center,Baystate Health System,Teaching Hospital,01095,4,"Wilbraham, MA",Wilbraham,MA,Hampden County,17,825,41608,1501,0.019827918,0.549633578
Baystate Medical Center,Baystate Health System,Teaching Hospital,01075,4,"South Hadley, MA",South Hadley,MA,Hampshire County,18,775,41608,1937,0.018626226,0.400103252
Baystate Medical Center,Baystate Health System,Teaching Hospital,01151,4,"Indian Orchard, MA",Indian Orchard,MA,Hampden County,19,759,41608,1172,0.018241684,0.647610922
Baystate Medical Center,Baystate Health System,Teaching Hospital,01030,4,"Feeding Hills, MA",Feeding Hills,MA,Hampden County,20,631,41608,1150,0.015165353,0.548695652
Baystate Medical Center,Baystate Health System,Teaching Hospital,01007,4,"Belchertown, MA",Belchertown,MA,Hampshire County,22,532,41608,1150,0.012786003,0.462608696
Baystate Medical Center,Baystate Health System,Teaching Hospital,01201,4,"Pittsfield, MA",Pittsfield,MA,Berkshire County,23,515,41608,7457,0.012377427,0.069062626
Baystate Medical Center,Baystate Health System,Teaching Hospital,01301,4,"Greenfield, MA",Greenfield,MA,Franklin County,24,512,41608,2564,0.012305326,0.199687988
Baystate Medical Center,Baystate Health System,Teaching Hospital,01027,4,"Easthampton, MA",Easthampton,MA,Hampshire County,25,500,41608,1890,0.01201692,0.264550265
Baystate Medical Center,Baystate Health System,Teaching Hospital,01082,4,"Ware, MA",Ware,MA,Hampshire County,26,485,41608,1131,0.011656412,0.42882405
Baystate Medical Center,Baystate Health System,Teaching Hospital,01129,4,"Springfield, MA",Springfield,MA,Hampden County,27,431,41608,733,0.010358585,0.587994543
Baystate Medical Center,Baystate Health System,Teaching Hospital,01069,4,"Palmer, MA",Palmer,MA,Hampden County,28,363,41608,1044,0.008724284,0.347701149
Baystate Medical Center,Baystate Health System,Teaching Hospital,01077,4,"Southwick, MA",Southwick,MA,Hampden County,29,362,41608,920,0.00870025,0.393478261
Baystate Medical Center,Baystate Health System,Teaching Hospital,01057,4,"Monson, MA",Monson,MA,Hampden County,30,358,41608,763,0.008604115,0.469200524
Baystate Medical Center,Baystate Health System,Teaching Hospital,01060,4,"Northampton, MA",Northampton,MA,Hampshire County,31,302,41608,1619,0.00725822,0.186534898
Baystate Medical Center,Baystate Health System,Teaching Hospital,01002,4,"Amherst, MA",Amherst,MA,Hampshire County,32,301,41608,1647,0.007234186,0.182756527
Baystate Medical Center,Baystate Health System,Teaching Hospital,01036,4,"Hampden, MA",Hampden,MA,Hampden County,33,273,41608,474,0.006561238,0.575949367
Baystate Medical Center,Baystate Health System,Teaching Hospital,01033,4,"Granby, MA",Granby,MA,Hampshire County,34,264,41608,581,0.006344934,0.454388985
Baystate Medical Center,Baystate Health System,Teaching Hospital,01103,4,"Springfield, MA",Springfield,MA,Hampden County,35,251,41608,378,0.006032494,0.664021164
Baystate Medical Center,Baystate Health System,Teaching Hospital,01199,4,"Springfield, MA",Springfield,MA,Hampden County,36,218,41608,267,0.005239377,0.816479401
Baystate Medical Center,Baystate Health System,Teaching Hospital,01062,4,"Florence, MA",Florence,MA,Hampshire County,37,208,41608,1026,0.004999039,0.202729045
Baystate Medical Center,Baystate Health System,Teaching Hospital,01128,4,"Springfield, MA",Springfield,MA,Hampden County,38,172,41608,281,0.00413382,0.612099644
Baystate Medical Center,Baystate Health System,Teaching Hospital,01073,4,"Southampton, MA",Southampton,MA,Hampshire County,39.5,167,41608,516,0.004013651,0.323643411
Baystate Medical Center,Baystate Health System,Teaching Hospital,01247,4,"North Adams, MA",North Adams,MA,Berkshire County,39.5,167,41608,2038,0.004013651,0.081943081
Baystate Medical Center,Baystate Health System,Teaching Hospital,01376,4,"Turners Falls, MA",Turners Falls,MA,Franklin County,41,162,41608,839,0.003893482,0.193087008
Baystate Medical Center,Baystate Health System,Teaching Hospital,01035,4,"Hadley, MA",Hadley,MA,Hampshire County,42,155,41608,595,0.003725245,0.260504202
Baystate Medical Center,Baystate Health System,Teaching Hospital,01101,4,"Springfield, MA",Springfield,MA,Hampden County,43,144,41608,252,0.003460873,0.571428571
Baystate Medical Center,Baystate Health System,Teaching Hospital,01080,4,"Three Rivers, MA",Three Rivers,MA,Hampden County,44,135,41608,317,0.003244568,0.425867508
Baystate Medical Center,Baystate Health System,Teaching Hospital,01022,4,"Chicopee, MA",Chicopee,MA,Hampden County,46,113,41608,238,0.002715824,0.474789916
Baystate Medical Center,Baystate Health System,Teaching Hospital,01230,4,"Great Barrington, MA",Great Barrington,MA,Berkshire County,48,105,41608,895,0.002523553,0.117318436
Baystate Medical Center,Baystate Health System,Teaching Hospital,01083,4,"Warren, MA",Warren,MA,Worcester County,49,95,41608,291,0.002283215,0.326460481
Baystate Medical Center,Baystate Health System,Teaching Hospital,01220,4,"Adams, MA",Adams,MA,Berkshire County,50,94,41608,964,0.002259181,0.097510373
Baystate Medical Center,Baystate Health System,Teaching Hospital,01373,4,"South Deerfield, MA",South Deerfield,MA,Franklin County,51,77,41608,377,0.001850606,0.204244032
Baystate Medical Center,Baystate Health System,Teaching Hospital,01238,4,"Lee, MA",Lee,MA,Berkshire County,52,75,41608,721,0.001802538,0.104022191
Baystate Medical Center,Baystate Health System,Teaching Hospital,01370,4,"Shelburne Falls, MA",Shelburne Falls,MA,Franklin County,53,74,41608,390,0.001778504,0.18974359
Baystate Medical Center,Baystate Health System,Teaching Hospital,01585,4,"West Brookfield, MA",West Brookfield,MA,Worcester County,54,73,41608,457,0.00175447,0.159737418
Baystate Medical Center,Baystate Health System,Teaching Hospital,01010,4,"Brimfield, MA",Brimfield,MA,Hampden County,55,70,41608,404,0.001682369,0.173267327
Baystate Medical Center,Baystate Health System,Teaching Hospital,01050,4,"Huntington, MA",Huntington,MA,Hampshire County,56.5,69,41608,239,0.001658335,0.288702929
Baystate Medical Center,Baystate Health System,Teaching Hospital,01053,4,"Leeds, MA",Leeds,MA,Hampshire County,56.5,69,41608,394,0.001658335,0.175126904
Baystate Medical Center,Baystate Health System,Teaching Hospital,01375,4,"Sunderland, MA",Sunderland,MA,Franklin County,58,68,41608,268,0.001634301,0.253731343
Baystate Medical Center,Baystate Health System,Teaching Hospital,01038,4,"Hatfield, MA",Hatfield,MA,Hampshire County,59,64,41608,250,0.001538166,0.256
Baystate Medical Center,Baystate Health System,Teaching Hospital,01226,4,"Dalton, MA",Dalton,MA,Berkshire County,60.5,61,41608,707,0.001466064,0.086280057
Baystate Medical Center,Baystate Health System,Teaching Hospital,01364,4,"Orange, MA",Orange,MA,Franklin County,60.5,61,41608,953,0.001466064,0.064008395
Baystate Medical Center,Baystate Health System,Teaching Hospital,01225,4,"Cheshire, MA",Cheshire,MA,Berkshire County,62.5,58,41608,362,0.001393963,0.160220994
Baystate Medical Center,Baystate Health System,Teaching Hospital,01351,4,"Montague, MA",Montague,MA,Franklin County,62.5,58,41608,227,0.001393963,0.255506608
Baystate Medical Center,Baystate Health System,Teaching Hospital,01331,4,"Athol, MA",Athol,MA,Worcester County,64.5,56,41608,1928,0.001345895,0.029045643
Baystate Medical Center,Baystate Health System,Teaching Hospital,01337,4,"Bernardston, MA",Bernardston,MA,Franklin County,64.5,56,41608,289,0.001345895,0.193771626
Baystate Medical Center,Baystate Health System,Teaching Hospital,01071,4,"Russell, MA",Russell,MA,Hampden County,67,54,41608,140,0.001297827,0.385714286
Baystate Medical Center,Baystate Health System,Teaching Hospital,01092,4,"West Warren, MA",West Warren,MA,Worcester County,67,54,41608,113,0.001297827,0.477876106
Baystate Medical Center,Baystate Health System,Teaching Hospital,01360,4,"Northfield, MA",Northfield,MA,Franklin County,67,54,41608,248,0.001297827,0.217741935
Baystate Medical Center,Baystate Health System,Teaching Hospital,01009,4,"Bondsville, MA",Bondsville,MA,Hampden County,70,51,41608,128,0.001225726,0.3984375
Baystate Medical Center,Baystate Health System,Teaching Hospital,01011,4,"Chester, MA",Chester,MA,Hampden County,70,51,41608,135,0.001225726,0.377777778
Baystate Medical Center,Baystate Health System,Teaching Hospital,01096,4,"Williamsburg, MA",Williamsburg,MA,Hampshire County,70,51,41608,209,0.001225726,0.244019139
Baystate Medical Center,Baystate Health System,Teaching Hospital,01034,4,"Granville, MA",Granville,MA,Hampden County,72,48,41608,142,0.001153624,0.338028169
Baystate Medical Center,Baystate Health System,Teaching Hospital,01054,4,"Leverett, MA",Leverett,MA,Franklin County,73.5,46,41608,167,0.001105557,0.275449102
Baystate Medical Center,Baystate Health System,Teaching Hospital,01267,4,"Williamstown, MA",Williamstown,MA,Berkshire County,73.5,46,41608,795,0.001105557,0.057861635
Baystate Medical Center,Baystate Health System,Teaching Hospital,01340,4,"Colrain, MA",Colrain,MA,Franklin County,76,44,41608,190,0.001057489,0.231578947
Baystate Medical Center,Baystate Health System,Teaching Hospital,01079,4,"Thorndike, MA",Thorndike,MA,Hampden County,77.5,43,41608,93,0.001033455,0.462365591
Baystate Medical Center,Baystate Health System,Teaching Hospital,01257,4,"Sheffield, MA",Sheffield,MA,Berkshire County,77.5,43,41608,206,0.001033455,0.208737864
Baystate Medical Center,Baystate Health System,Teaching Hospital,01031,4,"Gilbertville, MA",Gilbertville,MA,Worcester County,79,42,41608,142,0.001009421,0.295774648
Baystate Medical Center,Baystate Health System,Teaching Hospital,01008,4,"Blandford, MA",Blandford,MA,Hampden County,80.5,41,41608,115,0.000985387,0.356521739
Baystate Medical Center,Baystate Health System,Teaching Hospital,01240,4,"Lenox, MA",Lenox,MA,Berkshire County,80.5,41,41608,643,0.000985387,0.063763608
Baystate Medical Center,Baystate Health System,Teaching Hospital,01339,4,"Charlemont, MA",Charlemont,MA,Franklin County,82.5,40,41608,166,0.000961354,0.240963855
Baystate Medical Center,Baystate Health System,Teaching Hospital,01342,4,"Deerfield, MA",Deerfield,MA,Franklin County,82.5,40,41608,154,0.000961354,0.25974026
Baystate Medical Center,Baystate Health System,Teaching Hospital,01081,4,"Wales, MA",Wales,MA,Hampden County,85,39,41608,169,0.00093732,0.230769231
Baystate Medical Center,Baystate Health System,Teaching Hospital,01354,4,"Gill, MA",Gill,MA,Franklin County,85,39,41608,174,0.00093732,0.224137931
Baystate Medical Center,Baystate Health System,Teaching Hospital,01098,4,"Worthington, MA",Worthington,MA,Hampshire County,87,37,41608,115,0.000889252,0.32173913
Baystate Medical Center,Baystate Health System,Teaching Hospital,01235,4,"Hinsdale, MA",Hinsdale,MA,Berkshire County,88.5,35,41608,313,0.000841184,0.111821086
Baystate Medical Center,Baystate Health System,Teaching Hospital,01344,4,"Erving, MA",Erving,MA,Franklin County,88.5,35,41608,173,0.000841184,0.202312139
Baystate Medical Center,Baystate Health System,Teaching Hospital,01086,4,"Westfield, MA",Westfield,MA,Hampden County,91,32,41608,91,0.000769083,0.351648352
Baystate Medical Center,Baystate Health System,Teaching Hospital,01330,4,"Ashfield, MA",Ashfield,MA,Franklin County,91,32,41608,124,0.000769083,0.258064516
Baystate Medical Center,Baystate Health System,Teaching Hospital,01341,4,"Conway, MA",Conway,MA,Franklin County,91,32,41608,126,0.000769083,0.253968254
Baystate Medical Center,Baystate Health System,Teaching Hospital,01223,4,"Becket, MA",Becket,MA,Berkshire County,93,31,41608,210,0.000745049,0.147619048
Baystate Medical Center,Baystate Health System,Teaching Hospital,01236,4,"Housatonic, MA",Housatonic,MA,Berkshire County,95,29,41608,195,0.000696981,0.148717949
Baystate Medical Center,Baystate Health System,Teaching Hospital,01072,4,"Shutesbury, MA",Shutesbury,MA,Franklin County,96.5,28,41608,120,0.000672948,0.233333333
Baystate Medical Center,Baystate Health System,Teaching Hospital,01253,4,"Otis, MA",Otis,MA,Berkshire County,96.5,28,41608,95,0.000672948,0.294736842
Baystate Medical Center,Baystate Health System,Teaching Hospital,01029,4,"East Otis, MA",East Otis,MA,Berkshire County,98,26,41608,69,0.00062488,0.376811594
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01301,5,"Greenfield, MA",Greenfield,MA,Franklin County,1,1701,5079,2564,0.334908447,0.663416537
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01376,5,"Turners Falls, MA",Turners Falls,MA,Franklin County,2,577,5079,839,0.11360504,0.68772348
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01370,5,"Shelburne Falls, MA",Shelburne Falls,MA,Franklin County,3,239,5079,390,0.047056507,0.612820513
