Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Total Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY14,112819358
Total Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY15,116073593
Total Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY16,123828278
Total Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY17,130835523
Total Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY18,134149783
Total Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,22840837
Total Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,23009035
Total Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,23791203
Total Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,27028827
Total Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,27043726
Total Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,83784000
Total Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,99271000
Total Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,98571000
Total Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,99597000
Total Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,102857000
Total Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY14,1080564000
Total Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY15,1153081000
Total Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY16,1218425000
Total Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY17,1269386000
Total Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY18,1309472000
Total Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,57390675
Total Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,58931878
Total Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,61165147
Total Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,56659555
Total Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,58357000
Total Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,26347000
Total Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,28445000
Total Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,22148000
Total Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,88136000
Total Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,74236000
Total Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,76369000
Total Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY17,87645000
Total Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY18,86053000
Total Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY14,400743617
Total Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY15,453630347
Total Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY16,486781054
Total Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY17,495277725
Total Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY18,528183871
Total Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY14,84398308
Total Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY15,91101049
Total Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY16,106544250
Total Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY17,119684620
Total Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY18,123283000
Total Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY14,70568868
Total Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY15,78212560
Total Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY16,83090550
Total Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY17,87656228
Total Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY18,97333000
Total Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY14,191557356
Total Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY15,217673257
Total Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY16,239511566
Total Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY17,264601151
Total Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY18,277512000
Total Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY14,1448606866
Total Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY15,1506592968
Total Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY16,1620451785
Total Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY17,1732988057
Total Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY18,1871143000
Total Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY14,1380968000
Total Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY15,1377754921
Total Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY16,1505984000
Total Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY17,1717953000
Total Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY18,1835285000
Total Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY14,1108936000
Total Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY15,1159014000
Total Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY16,1233408000
Total Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY17,1341516000
Total Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY18,1492616000
Total Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY14,208020000
Total Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY15,219137000
Total Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY16,254745000
Total Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY17,275321000
Total Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY18,278461000
Total Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY14,2538005000
Total Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY15,2602856000
Total Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY16,2731483000
Total Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY17,2938918000
