Name,ORGID ,FACID ,Cohort,DRG Name, DRG Discharges  
Anna Jaques Hospital,1,2006,Community Hospital,Normal Neonate Birth,681
Athol Hospital,2,2226,Community High Public Payer Hospital,COPD,97
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Normal Neonate Birth,370
Baystate Medical Center,4,2339,Teaching Hospital,Normal Neonate Birth,3301
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Septicemia Infections,333
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Septicemia Infections,425
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Septicemia Infections,874
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Septicemia Infections,540
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Septicemia Infections,440
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Normal Neonate Birth,755
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Normal Neonate Birth,4382
Boston Children's Hospital ,46,2139,Specialty Hospital,Seizure,603
Boston Medical Center,3107,2307,Academic Medical Center,Normal Neonate Birth,2351
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Alcohol Abuse & Dependence,639
Brigham and Women's Hospital,22,2921,Academic Medical Center,Normal Neonate Birth,5022
Cambridge Health Alliance,3108,2108,Teaching Hospital,Normal Neonate Birth,1016
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Septicemia Infections,2053
Cooley Dickinson Hospital,50,2155,Community Hospital,Normal Neonate Birth,490
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Chemotherapy,437
Emerson Hospital,57,2018,Community Hospital,Normal Neonate Birth,1147
Fairview Hospital,8,2052,Community High Public Payer Hospital,Normal Neonate Birth,124
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Septicemia Infections,1022
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Maj Depressive Disorders,331
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Normal Neonate Birth,606
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Normal Neonate Birth,376
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Septicemia Infections,643
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Septicemia Infections,1457
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Normal Neonate Birth,1324
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Normal Neonate Birth,2038
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Maj Depressive Disorders,300
Martha's Vineyard Hospital,88,2042,Community Hospital,Normal Neonate Birth,120
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Other ENT Procedures,116
Massachusetts General Hospital,91,2168,Academic Medical Center,Normal Neonate Birth,3181
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Normal Neonate Birth,746
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Opioid Abuse & Dependence,1572
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Normal Neonate Birth,959
Milford Regional Medical Center,97,2105,Community Hospital,Normal Neonate Birth,832
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Septicemia Infections,553
Mount Auburn Hospital,100,2071,Teaching Hospital,Normal Neonate Birth,2404
Nantucket Cottage Hospital,101,2044,Community Hospital,Normal Neonate Birth,139
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Org Mental Hlth Disturb,176
New England Baptist Hospital,103,2059,Specialty Hospital,Knee Joint Replacement,3452
Newton-Wellesley Hospital,105,2075,Community Hospital,Normal Neonate Birth,3295
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Normal Neonate Birth,1084
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Normal Neonate Birth,2010
Saint Vincent Hospital,127,2128,Teaching Hospital,Normal Neonate Birth,1684
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,Skin Graft for Skin Dxs,37
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,D & L Fusion for Curvature,31
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Normal Neonate Birth,846
South Shore Hospital,122,2107,Community Hospital,Normal Neonate Birth,2796
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Normal Neonate Birth,2884
Steward Carney Hospital,42,2003,Teaching Hospital,Septicemia Infections,357
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Normal Neonate Birth,1121
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Normal Neonate Birth,965
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Bipolar Disorders,470
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Septicemia Infections,479
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Normal Neonate Birth,752
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Normal Neonate Birth,596
Tufts Medical Center,104,2299,Academic Medical Center,Normal Neonate Birth,968
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Normal Neonate Birth,3694
Winchester Hospital,138,2094,Community Hospital,Normal Neonate Birth,2065
Anna Jaques Hospital,1,2006,Community Hospital,Bipolar Disorders,525
Athol Hospital,2,2226,Community High Public Payer Hospital,Other Pneumonia,78
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Septicemia Infections,307
Baystate Medical Center,4,2339,Teaching Hospital,Vaginal Delivery,2491
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Bipolar Disorders,233
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Maj Depressive Disorders,245
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,"Drug/Alcohol Abuse, LAMA",767
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Knee Joint Replacement,505
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Heart Failure,241
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Septicemia Infections,654
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Vaginal Delivery,3310
Boston Children's Hospital ,46,2139,Specialty Hospital,Chemotherapy,486
Boston Medical Center,3107,2307,Academic Medical Center,Vaginal Delivery,1693
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Knee Joint Replacement,630
Brigham and Women's Hospital,22,2921,Academic Medical Center,Vaginal Delivery,3939
Cambridge Health Alliance,3108,2108,Teaching Hospital,Vaginal Delivery,761
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Normal Neonate Birth,742
Cooley Dickinson Hospital,50,2155,Community Hospital,Maj Depressive Disorders,383
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Bone Marrow Transplant,198
Emerson Hospital,57,2018,Community Hospital,Vaginal Delivery,792
Fairview Hospital,8,2052,Community High Public Payer Hospital,Septicemia Infections,110
